"filename", "language", "TypeScript", "JSON with Comments", "HTML", "JSON", "vue", "SCSS", "XML", "Java", "Java Properties", "Shell Script", "MS SQL", "Batch", "Markdown", "PlantUML", "comment", "blank", "total"
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\EducationDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, -8, -33
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\EssayDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -8, -13, -44
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\EssayGenerationDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, -13, -14, -85
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\EssayPolishDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, -9, -30, -129
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ForumCommentDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -1, -3, -19
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ForumPostDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -1, -3, -30
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ProjectDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, -7, -29
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\RecommendationRequestDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -249, 0, 0, 0, 0, 0, 0, -12, -84, -345
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\RecommendationResponseDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -162, 0, 0, 0, 0, 0, 0, -4, -47, -213
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\SchoolDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -139, 0, 0, 0, 0, 0, 0, -8, -44, -191
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\SchoolProgramDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -2, -19
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\UpdateUserRoleRequestDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\UserDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -1, -3, -28
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\BadRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, -125, 0, 0, 0, 0, 0, 0, -1, -26, -152
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\ResourceNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -3, -12
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\UnauthorizedAccessException.java", "Java", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\UnauthorizedException.java", "Java", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ApplicationStatistic.java", "Java", 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, -1, -16, -59
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Comment.java", "Java", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, -7, -29
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Document.java", "Java", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, -12, -43
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Education.java", "Java", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -13, -52
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Essay.java", "Java", 0, 0, 0, 0, 0, 0, 0, -114, 0, 0, 0, 0, 0, 0, -8, -42, -164
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\EssayRequirement.java", "Java", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -8, -31
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ExpertReview.java", "Java", 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, -6, -18, -75
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ForumComment.java", "Java", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -9, -39
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ForumPost.java", "Java", 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, -1, -17, -67
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\PostLike.java", "Java", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -7, -34
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Project.java", "Java", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, -12, -49
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Recommendation.java", "Java", 0, 0, 0, 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, -2, -28, -119
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\RecommendationItem.java", "Java", 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, -3, -31, -122
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\School.java", "Java", 0, 0, 0, 0, 0, 0, 0, -179, 0, 0, 0, 0, 0, 0, -5, -63, -247
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\SchoolProgram.java", "Java", 0, 0, 0, 0, 0, 0, 0, -104, 0, 0, 0, 0, 0, 0, 0, -35, -139
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, -135, 0, 0, 0, 0, 0, 0, -4, -23, -162
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserEducation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserRole.java", "Java", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -3, -1, -11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserStatus.java", "Java", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -3, -1, -11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\ApiResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, -1, -9, -43
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\JwtAuthenticationResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -1, -11, -47
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, -1, -7, -30
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\SignUpRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, -1, -24, -114
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ApplicationStatisticRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -5, -17
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\CommentRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -1, -9, -35
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\EducationRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -9, -6, -26
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\EssayRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, -6, -21
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumCommentRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -3, -15
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumPostRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -2, -13, -46
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -1, -15, -57
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\PostLikeRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -2, -6, -24
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ProjectRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -9, -6, -26
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\RecommendationItemRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\RecommendationRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\SchoolProgramRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -7, -24
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\SchoolRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, -30, -13, -77
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\CurrentUser.java", "Java", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtAuthenticationEntryPoint.java", "Java", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -1, -5, -27
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, -12, -62
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtTokenProvider.java", "Java", 0, 0, 0, 0, 0, 0, 0, -70, 0, 0, 0, 0, 0, 0, -4, -13, -87
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, -11, -15, -117
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, -1, -7, -40
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EducationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, -19, -19, -116
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayGenerationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -169, 0, 0, 0, 0, 0, 0, -21, -41, -231
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayPolishService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -199, 0, 0, 0, 0, 0, 0, -45, -60, -304
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -189, 0, 0, 0, 0, 0, 0, -23, -33, -245
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\ForumService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -102, -18, -146
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\ProjectService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, -19, -19, -113
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\RecommendationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -68, -13, -101
